"path";"id";"parent_id";"level";"object_id";"object_type";"query_status";"query_time";"query_type";"name";"message"
"150150755118325_1968021346664581";"2";"1";"1";"150150755118325_1968021346664581";"data";"fetched (200)";"2020-06-17 22:19:16.114489";"Facebook:/<page-id>/posts";"";"Сүхбаатар дүүргийн 1, 2 дугаар хорооны иргэд сонгогчидтой уулзалт хийв. УИХ-ын 2020 оны ээлжит сонгуулийн 24-р тойрог буюу Сүхбаатар дүүрэгт Ардчилсан намаас дэвшиж буй Э.Долгион, С.Эрдэнэболд бид 3 өөрсдийн намын дэвшүүлж буй мөрийн хөтөлбөрийг танилцуулж иргэдийн сонирхсон асуултад хариулт өгсөн юм. СБД-ийн 1-р хорооны Үйлдвэрчин хотхоны иргэдийн хувьд явган хүний гарц, авто зогсоол, хүүхдийн тоглоомын талбайг цэгцтэй ухаалаг шийдэж өгөх хүсэлт тавьсан юм. Харин СБД-ийн 2-р хорооны иргэдийн хувьд СӨХ-ийн асуудлаар тодорхой байр сууриа илэрхийллээ. #ТогтуунХүч #ТаныгТөлөөлнө"
"150150755118325_1968021346664581/1968020933331289_1968135453319837";"135";"2";"2";"1968020933331289_1968135453319837";"data";"fetched (200)";"2020-06-17 22:20:33.976529";"Facebook:/<post-id>/comments";"";"Төр түшилцэж залуучууддаа үлгэр дууриал үзүүлж чадах төрийн хүн мөнөөс мөн"
"150150755118325_1968021346664581/1968020933331289_1968135453319837/1968020933331289_1968157513317631";"136";"2";"2";"1968020933331289_1968157513317631";"data";"fetched (200)";"2020-06-17 22:20:33.976529";"Facebook:/<post-id>/comments";"";"Ёстой тулхтай төрийн түшээ"
"150150755118325_1968021346664581/1968020933331289_1968135453319837/1968020933331289_1968052403328142";"137";"2";"2";"1968020933331289_1968052403328142";"data";"fetched (200)";"2020-06-17 22:20:33.976529";"Facebook:/<post-id>/comments";"";"Тогтуун хүч.тулхтай төрийн түшээгээ багаар нь дэмжинээ.бид буруудахгүй."
"150150755118325_1968021346664581/1968020933331289_1968135453319837/1968020933331289_1968066753326707";"138";"2";"2";"1968020933331289_1968066753326707";"data";"fetched (200)";"2020-06-17 22:20:33.976529";"Facebook:/<post-id>/comments";"";"гишүүндээ  амжилт  хүсие  багаар  нь  дэмжих  болноо  ялна  гэдэгт  итгэлтэй  байнаа"
"150150755118325_1968021346664581/1968020933331289_1968135453319837/1968020933331289_1968902449909804";"139";"2";"2";"1968020933331289_1968902449909804";"data";"fetched (200)";"2020-06-17 22:20:33.976529";"Facebook:/<post-id>/comments";"";"Ан олонхи болбол ерөнхий сайд болно гэлүү мөн ч сэрж мартаж сэрүүн зүүдлэх юмдөө "
"150150755118325_1968021346664581/1968020933331289_1968135453319837/1968020933331289_1968208529979196";"140";"2";"2";"1968020933331289_1968208529979196";"data";"fetched (200)";"2020-06-17 22:20:33.976529";"Facebook:/<post-id>/comments";"";"Багаар нь дэмжинэ амжилт хүсье"
"150150755118325_1968021346664581/1968020933331289_1968135453319837/1968020933331289_1971690342964348";"141";"2";"2";"1968020933331289_1971690342964348";"data";"fetched (200)";"2020-06-17 22:20:33.976529";"Facebook:/<post-id>/comments";"";""
"150150755118325_1968021346664581/1968020933331289_1968135453319837/1968020933331289_1968119859988063";"142";"2";"2";"1968020933331289_1968119859988063";"data";"fetched (200)";"2020-06-17 22:20:33.976529";"Facebook:/<post-id>/comments";"";"Нэр цэвэр, мэдлэг, чадвартай, хал үзэж халуун чулуу долоосон, ийм жинхэнэ улс төрч хүнээ сонгоорой."
"150150755118325_1968021346664581/1968020933331289_1968135453319837/1968020933331289_1971759099624139";"143";"2";"2";"1968020933331289_1971759099624139";"data";"fetched (200)";"2020-06-17 22:20:33.976529";"Facebook:/<post-id>/comments";"";""
"150150755118325_1968021346664581/1968020933331289_1968135453319837/1968020933331289_1971759049624144";"144";"2";"2";"1968020933331289_1971759049624144";"data";"fetched (200)";"2020-06-17 22:20:33.976529";"Facebook:/<post-id>/comments";"";""
