"path";"id";"parent_id";"level";"object_id";"object_type";"query_status";"query_time";"query_type";"name";"message"
"229761661289218_577762583155789";"2";"1";"1";"229761661289218_577762583155789";"data";"fetched (200)";"2020-06-17 23:17:56.842089";"Facebook:/<page-id>/posts";"";"Сонгууль дуусмагц хэрэгжиж эхлэх ""Түмэн инженер"" төслийг та бүхэндээ танилцуулж байна. БОЛОВСРОЛТОЙ ХҮН АЖИЛТАЙ АЖИЛТАЙ ХҮН ОРЛОГОТОЙ! #Боловсролын #Мэдээллийн #Хуваарилалтын_ТЭГШ_БАЙДАЛ-ын төлөө!"
"229761661289218_577762583155789/577762583155789_577788293153218";"104";"2";"2";"577762583155789_577788293153218";"data";"fetched (200)";"2020-06-17 23:18:22.918862";"Facebook:/<post-id>/comments";"";"Ирээдүйн хамгийн том суурь нь Боловсрол 👌👌👌"
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_577774749821239";"105";"2";"2";"577762583155789_577774749821239";"data";"fetched (200)";"2020-06-17 23:18:22.918862";"Facebook:/<post-id>/comments";"";"Боловсрол, Шинжлэх ухаанд их зүйл амлаж байгаа, их зүйлийг хийх хүнийг дэмжнээ. Залуус сонголтоо зөв хийгээсэй"
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_577788516486529";"106";"2";"2";"577762583155789_577788516486529";"data";"fetched (200)";"2020-06-17 23:18:22.918862";"Facebook:/<post-id>/comments";"";"Боловсрол бол амьдралын эх үүсвэр болдог энэ төсөл цаг үеэ олсон байна залуучууд минь сонголтоо зөв хийцгээе"
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_577774239821290";"107";"2";"2";"577762583155789_577774239821290";"data";"fetched (200)";"2020-06-17 23:18:22.918862";"Facebook:/<post-id>/comments";"";"Боловсролтой,чадварлаг мундаг залуусаа дэмжнэ."
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_577844343147613";"108";"2";"2";"577762583155789_577844343147613";"data";"fetched (200)";"2020-06-17 23:18:22.918862";"Facebook:/<post-id>/comments";"";"Залуусынхаа боловсролыг дэмжинэ гэдэг хамгийн зөв бодлого 👌👌👌"
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_578356523096395";"109";"2";"2";"577762583155789_578356523096395";"data";"fetched (200)";"2020-06-17 23:18:22.918862";"Facebook:/<post-id>/comments";"";"Баахан ажлын байргүй инженер нь тэгэад Солонгост хар ажил хийх ү "
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_578492533082794";"110";"2";"2";"577762583155789_578492533082794";"data";"fetched (200)";"2020-06-17 23:18:22.918862";"Facebook:/<post-id>/comments";"";"medehgyi dee ene toirog hotiin tov hirnee neg ch hyyhdiin togloh ologtoi talbai baidaggui nadtai lav uulzaagui bn daa "
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_578354969763217";"111";"2";"2";"577762583155789_578354969763217";"data";"fetched (200)";"2020-06-17 23:18:22.918862";"Facebook:/<post-id>/comments";"";"Амжилт хүсье"
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_577854606479920";"112";"2";"2";"577762583155789_577854606479920";"data";"fetched (200)";"2020-06-17 23:18:22.918862";"Facebook:/<post-id>/comments";"";"Амжилт хүсье."
