"level";"id";"parent_id";"object_id";"object_type";"query_status";"query_time";"query_type";"name";"message"
"0";"1";"None";"112043303781002";"seed";"";"None";"None";"";""
"1";"2";"1";"112043303781002_148527700132562";"data";"fetched (200)";"2020-06-15 14:07:30.894374";"Facebook:/<page-id>/posts";"";"Сонгуулийн сурталчилгаа үргэлжилсээр байна. Иргэд сонгогчдын дэмжлэг маш өндөр байна.   Удахгүй та бүхний гар дээр хүүгийн минь бичсэн захиа хүрэх болно.   Авч чадаагүй эсвэл авахыг хүссэн хүн бүр энэ хаягаар бидэнд хандана уу.  #freeNomt"
"1";"3";"1";"112043303781002_147843726867626";"data";"fetched (200)";"2020-06-15 14:07:30.894374";"Facebook:/<page-id>/posts";"";"Нямтайширын НОМТОЙБАЯРЫН сонгуулийн сурталчилгаа улс төрийн хавчлага дунд ч үргэлжилсээр байна.   Маргааш буюу 2020 оны 6-р сарын 11-нд шүүх хурал болно. Шүүх шударга шийдвэр гаргана гэдэгт итгэж байна.   #freeNomt"
"1";"4";"1";"112043303781002_147531630232169";"data";"fetched (200)";"2020-06-15 14:07:30.894374";"Facebook:/<page-id>/posts";"";"Нямтайширын НОМТОЙБАЯРЫН сонгуулийн кампанит ажил гурав дахь өдрөө үргэлжилж байна.  Өнөөдөр 4,5,6-р хорооны иргэдтэй уулзаж тэдний санал бодлыг сонсож байна.   Ард түмний зовлон жаргалыг овжин байдлаар ашиглаж ""тэд болон бид"" гэсэн үзлийг нийгэмд гүн суулгаж ард иргэдээ хагарган талцуулж дундаас нь улс төрийн ашиг хонжоо олж авдаг тэдгээр хүмүүсийн үнэн төрхийг илчилж чаддаг хүүгээрээ бахархах сэтгэл бага ч гэсэн төрлөө.  ""30 гэр бүл"" гэдэг бүрхэг ойлголт бий болж бид ч багагүй төөрөгдлөө. Иргэдийн хэлж буйгаар шударга хөдөлмөрийн үр шимээр уг ойлголт бий болсон бол энэ тоо зөвхөн 30 биш 300 бүр 3 сая болох ёстой. Харин төрөөс төрсөн тэрбумтнуудыг хэлж байгаа бол энэ ойлголтын жинхэнэ эзэд МАН-д олон бий.  #freeNomt"
"1";"5";"1";"112043303781002_147524093566256";"data";"fetched (200)";"2020-06-15 14:07:30.894374";"Facebook:/<page-id>/posts";"";""
"1";"6";"1";"112043303781002_145873100398022";"data";"fetched (200)";"2020-06-15 14:07:30.894374";"Facebook:/<page-id>/posts";"";"ЖДҮ-чдийн дайсан"
"1";"7";"1";"112043303781002_113020177016648";"data";"fetched (200)";"2020-06-15 14:07:30.894374";"Facebook:/<page-id>/posts";"";"Өглөөний мэнд!  Цалин бол амьдралын санхүүгийн гол эх үүсвэр.  Цалин бага, амьдралын олон асуудлыг давах хэмжээнд хүрдэггүй болохоор бүгд бухимдалтай!  Гэтэл сонгууль хаяанд ирсэнтэй холбогдуулан улстөрийн намууд энэ асуудалд өнгөцхөн хандаад байгаа тул салбарт нь сайд байхдаа цалингийн талаар ямар судалгаа, шийдвэр боловсруулж байснаа бичье;  1. Цалингийн тоо амлах биш эхлээд төрийн бүхий л ажил үүргүүдийг нэг бүрчлэн эргэн харж, хувь хүн, аж ахуйн нэгж компаниуд, төрийн бус байгууллагууд хийх боломжтой ажлуудыг хувьд шилжүүлж, төрийн албаа цомхон, чадварлаг болгоё. Одоогийн 193,000 ТАХ-ын зөвхөн цалин нь нэг жилийн улсын төсвийн 26%-ийг идэж байна. Хүүхдийн 10 аад томоохон эмнэлэг барьчих хэмжээний мөнгө!  2. Монголд олон улсын стандарт бүхий цалин тооцох аргачлал нэвтрээгүй байна. Одоогийн бүртгэлийн маягаар цалин боддогийг өөрчилж барууны жишгээр хувь хүний ажлын бүтээмжид болон тухайн ажлын байрны онцлогоос хамаарч цалин тооцдог болгох. Ингэснээр хүн хэр сайн/муу ажиллана тэр хэмжээгээр цалин нь өөрөөс нь хамааралтайгаар тогтоогддог болно. Хүний ажиллах мотивацийг өдөөх зөв цалингийн тогтолцоо нэвтрүүлбэл ажлын бүтээмж ч өснө, цалин ч хангалттай өснө. Тэгэхээр цалингийн индексжүүлэлтийн систем нэвтрүүлэх.  3. Манайх шиг ихэнх бараагаа гадаадаас авдаг, долларын нөөц багатай, өргөн хэрэглээний үнийн савалт ихтэй улсад цалинг тогтоохдоо инфляцтай уялдуулж тогтоодог байх хэрэгтэй.   Энэ мэт шийдлүүдээр хүн сарын цалингаасаа амьдралын зардал, ипотекийн төлбөр зэргээ хасаад цаана нь 10-15%-ийн чөлөөт мөнгөн үлдэгдэлтэй, түүнийгээ хадгаламжид хийгээд байх боломжийг бүрдүүлэх нь чухал!   Ажиллаад, ажиллаад авсан цалин нь амьдралд хүрэх нь битгий хэл бөөн өр зээлийн дарамтад орж, ядуу амьдраад байгааг өөрчлөх арга нь цалингийн хувьд ердөө л энэ.   Санал шүүмжлэл нээлттэй.  Анхаарч уншсанд баярлалаа.  Н.Номтойбаяр"
"1";"8";"1";"112043303781002_112116013773731";"data";"fetched (200)";"2020-06-15 14:07:30.894374";"Facebook:/<page-id>/posts";"";"Бүгдийн амрыг эрье ээ,   Өнөөдрийг хүртэл өөрийн хөтлөдөг FB хаягтай байж үзсэнгүй. Намайг элдэвлэдэг хар/шар нөхдөд болон хэвлэлийнхэнд муу мэдээ дуулгахад би өөрийн гэх энэхүү FB пэйжтэй боллоо. Би бүгдтэй эдийн засаг, нийгмийн бодлого, шийдлийн хүрээнд нээлттэй байж, мэддэгээ түгээж, мэддэггүйгээ Та хэдтэй зөвлөлдөж байх зарчим баримтлана. Ажил хэрэг, үзэл бодлын постоос гадна буриад зон олны өв соёл, түүх, экстрим аялал, загасчлал, буудлагын спорт, авто спорт, НОМТ инженеринг авто модификацийн талаар постлоно.   Баярлалаа.  Бүгдийг мэндэлсэн; Н.Номтойбаяр"
"1";"9";"1";"112043303781002_112043787114287";"data";"fetched (200)";"2020-06-15 14:07:30.894374";"Facebook:/<page-id>/posts";"";""
"1";"10";"1";"112043303781002_112043660447633";"data";"fetched (200)";"2020-06-15 14:07:30.894374";"Facebook:/<page-id>/posts";"";""
