"path";"id";"parent_id";"level";"object_id";"object_type";"query_status";"query_time";"query_type";"name";"message"
"210175192404846_3096865830402420";"7";"6";"1";"210175192404846_3096865830402420";"data";"fetched (200)";"2020-07-13 15:41:06.011372";"Facebook:/<page-id>/posts";"";"С.Эрдэнэ: Ардчилсан намын Үндсэн дүрэмд заасны дагуу  намын даргын тамга, эрх үүргийг АН-ын дэд дарга Ц.Туваанд шилжүүлж өглөө Ардчилсан намын дарга С.Эрдэнэ өнөөдөр /2020.07.08/ Ардчилсан намын Үндсэн дүрэмд заасны дагуу намын тамга тэмдэг, эрх үүргийг Ардчилсан намын дэд дарга Ц.Туваанд шилжүүлж өглөө.  Тодруулбал, Ардчилсан намын Үндсэн дүрэмд заасны дагуу нийт гишүүдийн саналаар шинэ дарга тодортол дэд дарга Ц.Туваан намын даргын эрх үүргийг хэрэгжүүлж, тамга барих аж.  Мөн Ардчилсан намын даргын Сунгааг зохион байгуулах, ирэх наймдугаар сарын 23-нд хуралдах Х Их хурлын бэлтгэлийг хангах, хуралдуулах ажлыг Ц.Туваан хариуцаж ажиллахаар болжээ. Дашрамд дурдахад, Ардчилсан намын дарга С.Эрдэнэ Үндсэн дүрмийн дагуу нийт гишүүдийнхээ саналаар сонгогдсон анхны дарга болж, өнгөрсөн дөрвөн жил Ардчилсан намын даргаар ажилласан юм."
"210175192404846_3096865830402420/3096865830402420_3097291070359896";"142";"7";"2";"3096865830402420_3097291070359896";"data";"fetched (200)";"2020-07-13 15:41:45.184456";"Facebook:/<post-id>/comments";"";"Erdene muudlaa gehed galdendevees dooshoo orohguildee ANd ahiad Erdene shig zorigtoi tuushtai darga ireesee bi chadna gej dargal boloh durtai terniihee tuluu namaach taraahdaa yiman chinee bododgui nuhudiig garaad yavtaln bolomj buuolgoosoi"
"210175192404846_3096865830402420/3096865830402420_3097291070359896/3096865830402420_3097416440347359";"143";"7";"2";"3096865830402420_3097416440347359";"data";"fetched (200)";"2020-07-13 15:41:45.184456";"Facebook:/<post-id>/comments";"";"Одоо өнгөрсөнөө яриад л зууралдадгаа болих хэрэгтэй.Одоо шинэ үе ирсэн нам маань сүүлийн хэдэн жил доошоогоо уруудлаа одоо шинэ ардчилсан намыг бий болгох хэрэгтэй.Тэр Танхимын Амартүвшин эдр тохирохуйц л хүн байналээшд"
"210175192404846_3096865830402420/3096865830402420_3097291070359896/3096865830402420_3097383197017350";"144";"7";"2";"3096865830402420_3097383197017350";"data";"fetched (200)";"2020-07-13 15:41:45.184456";"Facebook:/<post-id>/comments";"";"Одоо л АН сайн сэргэлт хийж босохгүй бол нөгөө айхтар нэр хүнд нь нурж уналаа ард иргэд ч дургүй боллоо.Сэрггэж чадахуйц чадварлан залуу үе л хэрэгтэй.Мэддэг хүмүүс нь Танхимын Амартүвшинд нэлээн ам сайтай байна лээ дээ."
"210175192404846_3096865830402420/3096865830402420_3097291070359896/3096865830402420_3097484643673872";"145";"7";"2";"3096865830402420_3097484643673872";"data";"fetched (200)";"2020-07-13 15:41:45.184456";"Facebook:/<post-id>/comments";"";"Амартүвшин гол нь олон долоон юмгүй хийх ёстой ажлаа л сайн хийчихдэг хүн.Тийм хүн л одоо хэрэгтэй том том юм ярьж явах хоосон амыг хангалттай л үзлээ шүү дээ"
"210175192404846_3096865830402420/3096865830402420_3097291070359896/3096865830402420_3097432210345782";"146";"7";"2";"3096865830402420_3097432210345782";"data";"fetched (200)";"2020-07-13 15:41:45.184456";"Facebook:/<post-id>/comments";"";"АНамын ирээдүй болж чадах хүн л бидэнд хэрэгтэй байх Амартүвшин залуу хүн гэхэд даруу ажилсаг мундаг хүн шиг санагдсан"
"210175192404846_3096865830402420/3096865830402420_3097291070359896/3096865830402420_3099657066789963";"147";"7";"2";"3096865830402420_3099657066789963";"data";"fetched (200)";"2020-07-13 15:41:45.184456";"Facebook:/<post-id>/comments";"";"АН-ын ирээдүйг Амартүвшин гэдэг хүн л залах байх даа"
"210175192404846_3096865830402420/3096865830402420_3097291070359896/3096865830402420_3097467623675574";"148";"7";"2";"3096865830402420_3097467623675574";"data";"fetched (200)";"2020-07-13 15:41:45.184456";"Facebook:/<post-id>/comments";"";"Өөрчилж шинэчлэх хэрэгтэй!! Энэ хүмүүсийн хэлж байгаа ч үнэн одоо маш чухал сонголт хийх гэж байна залуу үеийг гаргаж өөрчлөгдөх хэрэгтэй бүгд л үүнтйг хүсэж байгаа"
"210175192404846_3096865830402420/3096865830402420_3097291070359896/3096865830402420_3097386123683724";"149";"7";"2";"3096865830402420_3097386123683724";"data";"fetched (200)";"2020-07-13 15:41:45.184456";"Facebook:/<post-id>/comments";"";"Odoo indees l shuud haragdaj bn baahn hugshjvvl tsag ve ee mederse Amartuwshin  entr geed mash olon zaluus bn odoo in namd reporm hiih tsag irseen"
"210175192404846_3096865830402420/3096865830402420_3097291070359896/3096865830402420_3099942650094738";"150";"7";"2";"3096865830402420_3099942650094738";"data";"fetched (200)";"2020-07-13 15:41:45.184456";"Facebook:/<post-id>/comments";"";"Одоо тэгээд яаралтай хуралдаж гишүүдийн саналаар жинэхэнэ даргаа сонгооч... Хойшилсон гэх юм . Ингэж заваарч зууралдахаа болиоч... Шинэчлэл хэрэгтэй дээрээ ч орон нутгуудад ч... "
