"level";"id";"parent_id";"object_id";"object_type";"query_status";"query_time";"query_type";"created_time";"type";"comments.summary.total_count";"shares.count";"reactions.summary.total_count";"like.summary.total_count";"love.summary.total_count";"haha.summary.total_count";"wow.summary.total_count";"sad.summary.total_count";"angry.summary.total_count";"message"
"0";"1";"None";"210175192404846";"seed";"";"None";"None";"";"";"";"";"";"";"";"";"";"";"";""
"1";"2";"1";"210175192404846_3073047082784295";"data";"fetched (200)";"2020-07-23 18:36:02.489597";"Facebook:/<page-id>/posts";"2020-06-29T08:40:35+0000";"photo";"38";"20";"124";"90";"2";"22";"1";"2";"7";"Өнөөдөр Ардчилсан намын Үндсэн Дүрмийн Хороо хуралдаж 2020 оны УИХ-ын ээлжит сонгуулийн дүн эцэслэн шийдвэрлэгдээгүй, албан ёсоор баталгаажаагүй тул Үндсэн дүрмийн 5.17.6.1-т заасан Намын даргыг чөлөөлөх нөхцөл байдал одоогоор үүсээгүй байна хэмээн шийдвэрлэсэн байна"
"1";"3";"1";"210175192404846_1583490218485203";"data";"fetched (200)";"2020-07-23 18:36:02.489597";"Facebook:/<page-id>/posts";"2020-06-28T07:25:00+0000";"video";"283";"65";"292";"242";"26";"12";"1";"2";"9";""
"1";"4";"1";"210175192404846_3068123469943323";"data";"fetched (200)";"2020-07-23 18:36:02.489597";"Facebook:/<page-id>/posts";"2020-06-27T12:10:59+0000";"photo";"14";"48";"218";"203";"8";"7";"0";"0";"0";"Монгол Улсын Ерөнхийлөгч, Үндэсний Аюулгүй байдлын зөвлөлийн Тэргүүн Х.Баттулга-д шаардлага хүргүүллээ. Шаардлагад МАХН, Та бидний эвсэл, ШИНЭ Эвсэл, Бие даагчид нэгдэж гарын үсэг зурав."
"1";"5";"1";"210175192404846_717234488844196";"data";"fetched (200)";"2020-07-23 18:36:02.489597";"Facebook:/<page-id>/posts";"2020-06-27T10:43:53+0000";"video";"377";"157";"887";"739";"76";"44";"6";"5";"17";"Ардчилсан намаас мэдэгдэл хийж байна"
"1";"6";"1";"210175192404846_3067873499968320";"data";"fetched (200)";"2020-07-23 18:36:02.489597";"Facebook:/<page-id>/posts";"2020-06-27T09:55:24+0000";"photo";"6";"30";"188";"186";"1";"0";"1";"0";"0";"УИХ-ын ээлжит сонгуулийн дүнд эргэлзсэн иргэд, сонгуульд оролцсон улс төрийн нам, эвсэл, бие даан нэр дэвшигчдээс ирүүлсэн хүсэлтийн дагуу Монгол Улсын Ерөнхийлөгч Х.Баттулга Сонгуулийн Ерөнхий хороонд саналын хуудсыг дахин тоолж, нягтлах үүрэг өгчээ"
"1";"7";"1";"210175192404846_3067104450045225";"data";"fetched (200)";"2020-07-23 18:36:02.489597";"Facebook:/<page-id>/posts";"2020-06-27T05:44:11+0000";"link";"17";"29";"203";"193";"4";"3";"1";"0";"2";"http://demparty.mn/article/815"
"1";"8";"1";"210175192404846_1928385523959240";"data";"fetched (200)";"2020-07-23 18:36:02.489597";"Facebook:/<page-id>/posts";"2020-06-26T10:56:35+0000";"video";"396";"329";"748";"649";"66";"19";"3";"4";"7";""
"1";"9";"1";"210175192404846_1268243883507608";"data";"fetched (200)";"2020-07-23 18:36:02.489597";"Facebook:/<page-id>/posts";"2020-06-25T10:00:42+0000";"video";"285";"82";"554";"436";"54";"17";"4";"25";"18";"АН-ын даргын үүрэг гүйцэтгэгчээр Ц.Туваан ажиллана"
"1";"10";"1";"210175192404846_3054641244624879";"data";"fetched (200)";"2020-07-23 18:36:02.489597";"Facebook:/<page-id>/posts";"2020-06-22T15:37:36+0000";"photo";"3";"3";"36";"35";"1";"0";"0";"0";"0";"ХҮН БҮРД ОРЛОГО ✅ ӨРХ БҮРД ӨСӨЛТ✅"
"1";"11";"1";"210175192404846_3054335511322119";"data";"fetched (200)";"2020-07-23 18:36:02.489597";"Facebook:/<page-id>/posts";"2020-06-22T13:16:50+0000";"video";"5";"19";"87";"87";"0";"0";"0";"0";"0";"ӨРХИЙГ ДЭМЖСЭН ХӨГЖЛИЙН ХӨТӨЛБӨРИЙГ ХЭРЭГЖҮҮЛЭХИЙН ТУЛД АРДЧИЛСАН НАМ ОЛОНХИ БОЛОХ УЧИРТАЙ"
"1";"12";"1";"210175192404846_3054266471329023";"data";"fetched (200)";"2020-07-23 18:36:02.489597";"Facebook:/<page-id>/posts";"2020-06-22T12:45:32+0000";"video";"8";"10";"138";"136";"1";"1";"0";"0";"0";"БАЯНЗҮРХ ДҮҮРЭГТ АРДЧИЛАЛ ЯЛНА"
"1";"13";"1";"210175192404846_3054229341332736";"data";"fetched (200)";"2020-07-23 18:36:02.489597";"Facebook:/<page-id>/posts";"2020-06-22T12:24:44+0000";"video";"1";"69";"59";"57";"1";"1";"0";"0";"0";"ОТГОНЖАРГАЛЫН МАГНАЙ ГАДААДЫН ИРГЭНИЙГ ЗАЛИЛААГҮЙ БОЛОХЫГ ХУУЛИЙН БАЙГУУЛЛАГА ТОГТООЖЭЭ"
"1";"14";"1";"210175192404846_3054212244667779";"data";"fetched (200)";"2020-07-23 18:36:02.489597";"Facebook:/<page-id>/posts";"2020-06-22T12:15:57+0000";"photo";"24";"46";"293";"284";"9";"0";"0";"0";"0";"БАЯНГОЛЧУУД АРДЧИЛЛЫГ ДЭМЖЛЭЭ👏👏👏  ӨСӨЛТИЙГ ДЭМЖСЭН ХӨГЖЛИЙН БАГ🇲🇳🇲🇳🇲🇳"
"1";"15";"1";"210175192404846_3054194834669520";"data";"fetched (200)";"2020-07-23 18:36:02.489597";"Facebook:/<page-id>/posts";"2020-06-22T12:10:21+0000";"video";"0";"2";"47";"46";"1";"0";"0";"0";"0";"БАЯНХОНГОРЫН СОНГОГЧИД “ТА ЧАДНА” УРИАЛГАД НЭГДСЭЭР БАЙНА"
"1";"16";"1";"210175192404846_3054151198007217";"data";"fetched (200)";"2020-07-23 18:36:02.489597";"Facebook:/<page-id>/posts";"2020-06-22T11:45:36+0000";"video";"4";"9";"69";"67";"2";"0";"0";"0";"0";"Ц. БААТАРХҮҮ: ТӨРД ХАРИУЦЛАГА, ГЭР ХОРООЛОЛД ДЭД БҮТЭЦ АВЧРАХЫН ТӨЛӨӨ ЗҮТГЭНЭ"
"1";"17";"1";"210175192404846_3054068864682117";"data";"fetched (200)";"2020-07-23 18:36:02.489597";"Facebook:/<page-id>/posts";"2020-06-22T10:59:11+0000";"video";"8";"20";"53";"53";"0";"0";"0";"0";"0";"МОНГОЛ ӨРХ - ХӨГЖЛИЙН БОДЛОГО 2020🇲🇳  ✅2016-2020 онд шинээр бий болгосон болон хувь хэмжээг нэмэгдүүлсэн бүх төрлийн татвар, хураамжийг өмнө нь дагаж мөрдөж байсан хувь хэмжээнд хүртэл бууруулна.  ✅Үйлдвэрлэл, бүтээн байгуулалтад ашиглах түүхий эд, тоног төхөөрөмжийг Монгол Улсын хилээр оруулахад Гаалийн болон НӨАТ хөнгөлөлт, чөлөөлөлт олгоно.   ✅Боловсролын тэтгэлэгт зарцуулсан аж ахуйн нэгжийн зардлыг татвар тооцох орлогоос чөлөөлнө.  ✅Түрээсийн орон сууц барьж, ашиглалтад оруулсан аж ахуйн нэгжид татварын хөнгөлөлт үзүүлнэ.    ХҮН БҮРД ОРЛОГО  ӨРХ БҮРД ӨСӨЛТ"
"1";"18";"1";"210175192404846_3054036298018707";"data";"fetched (200)";"2020-07-23 18:36:02.489597";"Facebook:/<page-id>/posts";"2020-06-22T10:40:02+0000";"video";"2";"5";"63";"61";"2";"0";"0";"0";"0";"МОНГОЛ ӨРХ - ХӨГЖЛИЙН БОДЛОГО 2020 🇲🇳  ✅Ажлын цагийн уян хатан зохицуулалт, зайнаас болон цахим орчинд хөдөлмөрлөх боломж бүхий ажлын байрны эрх зүйн орчныг бүрдүүлнэ.  ✅Хөдөлмөрийн аюулгүй байдал, эрүүл ахуйн менежментийн тогтолцоог сайжруулахад чиглэсэн бодлого хэрэгжүүлнэ.   ✅Хөдөлмөрийн аюулгүй байдал, эрүүл ахуйн асуудлыг үйлдвэрлэлийн осол, мэргэжлээс шалтгаалсан өвчний даатгалтай уялдуулна.   ХҮН БҮРД ОРЛОГО✅ ӨРХ БҮРД ӨСӨЛТ✅"
"1";"19";"1";"210175192404846_3054007291354941";"data";"fetched (200)";"2020-07-23 18:36:02.489597";"Facebook:/<page-id>/posts";"2020-06-22T10:24:04+0000";"video";"2";"17";"77";"76";"1";"0";"0";"0";"0";"МОНГОЛ ӨРХ - ХӨГЖЛИЙН БОДЛОГО 2020 🇲🇳  ✅Ипотекийн зээлийг үргэлжлүүлнэ. Гэр хорооллын дахин төлөвлөлтийг ипотекийн зээлтэй уялдуулна.   ХҮН БҮРД ОРЛОГО✅  ӨРХ БҮРД ӨСӨЛТ✅"
"1";"20";"1";"210175192404846_3053917281363942";"data";"fetched (200)";"2020-07-23 18:36:02.489597";"Facebook:/<page-id>/posts";"2020-06-22T09:39:23+0000";"video";"1";"6";"99";"96";"3";"0";"0";"0";"0";"ХОВД НУТГИЙНХАН АРДЧИЛЛАА ДЭМЖИНЭ"
"1";"21";"1";"210175192404846_3053864611369209";"data";"fetched (200)";"2020-07-23 18:36:02.489597";"Facebook:/<page-id>/posts";"2020-06-22T09:06:22+0000";"video";"9";"13";"109";"106";"3";"0";"0";"0";"0";"ХАН-УУЛЧУУД АРДЧИЛЛАА СОНГОНО"
"1";"22";"1";"210175192404846_3053845681371102";"data";"fetched (200)";"2020-07-23 18:36:02.489597";"Facebook:/<page-id>/posts";"2020-06-22T08:56:07+0000";"video";"5";"20";"186";"172";"7";"4";"3";"0";"0";"АРДЧИЛСАН НАМЫН ТУГ БАРУУН БҮС ЗАВХАН НУТАГТ ӨНДӨРТ ӨРГӨГДӨНӨ"
