"path";"id";"parent_id";"level";"object_id";"object_type";"query_status";"query_time";"query_type";"name";"message"
"120920014698353";"2";"1";"1";"120920014698353";"empty";"fetched (200)";"2020-07-13 15:47:24.823943";"Facebook:/<page-id>/posts";"";""
"120920014698353/120920014698353";"139";"2";"2";"120920014698353";"data";"error (400)";"2020-07-13 15:48:31.081016";"Facebook:/<post-id>/comments";"";""
"120920014698353/120920014698353/120920014698353";"140";"2";"2";"120920014698353";"headers";"error (400)";"2020-07-13 15:48:31.081016";"Facebook:/<post-id>/comments";"";""
"120920014698353/120920014698353";"3";"1";"1";"120920014698353";"headers";"fetched (200)";"2020-07-13 15:47:24.823943";"Facebook:/<page-id>/posts";"";""
"120920014698353/120920014698353/120920014698353";"141";"3";"2";"120920014698353";"data";"error (400)";"2020-07-13 15:48:31.379621";"Facebook:/<post-id>/comments";"";""
"120920014698353/120920014698353/120920014698353";"142";"3";"2";"120920014698353";"headers";"error (400)";"2020-07-13 15:48:31.379621";"Facebook:/<post-id>/comments";"";""
"120920014698353/120920014698353_1777529205704084";"4";"1";"1";"120920014698353_1777529205704084";"data";"fetched (200)";"2020-07-13 15:48:00.071523";"Facebook:/<page-id>/posts";"";"МЭДЭГДЭЛ!"
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777683479021990";"143";"4";"2";"1777529205704084_1777683479021990";"data";"fetched (200)";"2020-07-13 15:48:32.088346";"Facebook:/<post-id>/comments";"";"Хүрэлсүхийн баг болон МАН ялсанд маш их баярлаж бна.Ажлын амжилт хүсч бна."
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777645932359078";"144";"4";"2";"1777529205704084_1777645932359078";"data";"fetched (200)";"2020-07-13 15:48:32.088346";"Facebook:/<post-id>/comments";"";"МАН-Ялсан ч Ялагдсан ч Монголын Улс төрийн ууган хүчин гэдгээ Улс төрийн бусад Нам хүчнүүдэд харуулж чаддаг бүрэн төлөвшсөн Нам.Монгол Улсын Үндсэн Хууль Сонгуулийн тухай хуулиа чанд баримтлахыг бусад улс төрийн намуудаас хүсье. Ард түмний сонголт мэргэн байсан итгээрэй."
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777768342346837";"145";"4";"2";"1777529205704084_1777768342346837";"data";"fetched (200)";"2020-07-13 15:48:32.088346";"Facebook:/<post-id>/comments";"";"ард түмэн сонголтоо хийчихсэн байхад ялагдалаа хүлээж сурах хэрэгтэй алийн болгон ялснаа муулж ард түмнийг турихарч байдгаа болиоч тийм л байсыг бол төр барьж байхдаа сайн байхгүй яасан юм идэж уухаа л уридал болгосон биздээ хийж байгаагаа үгүйсгэх хэрэггүй хийснийг нь ард түмэн харж байгаа тэгээд л сонголтоо хийсэн"
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777608595696145";"146";"4";"2";"1777529205704084_1777608595696145";"data";"fetched (200)";"2020-07-13 15:48:32.088346";"Facebook:/<post-id>/comments";"";"МУ ын Ерөнхийлөгчөө Ард түмнийхээ саналыг хүндэтгэн үзэж , УИХ ын Анхдугаар чуулганыг хурдан хуралдуулж, гишүүдийг ажилд нь хурдан оруулъя. Амжилт хүсье."
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777641262359545";"147";"4";"2";"1777529205704084_1777641262359545";"data";"fetched (200)";"2020-07-13 15:48:32.088346";"Facebook:/<post-id>/comments";"";"Мафийн эсрэг зоригтой дуугарч тэмцэж чадаж байгаа Хүрэлсүхийг багаар нь дэмжсэн юм. Өөр ямарч аавын хүү ээжийн охин ийм зориг гаргаж чадахгүй бүгд л бүлх залгисан мэт үг дуугарч чадахгүй амь тавин зугтацгаана"
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777587309031607";"148";"4";"2";"1777529205704084_1777587309031607";"data";"fetched (200)";"2020-07-13 15:48:32.088346";"Facebook:/<post-id>/comments";"";"Миний суурь хүмүүжил МАН тай холбоотой"
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777620149028323";"149";"4";"2";"1777529205704084_1777620149028323";"data";"fetched (200)";"2020-07-13 15:48:32.088346";"Facebook:/<post-id>/comments";"";"Манай нам ялалт байгуулсан  дахин  ч байгуулж  чадна.амжилт дахин  амжилт хүсье."
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777619915695013";"150";"4";"2";"1777529205704084_1777619915695013";"data";"fetched (200)";"2020-07-13 15:48:32.088346";"Facebook:/<post-id>/comments";"";"Эх оронд баярлалаа. Монгол Ардын Намынханд баярлалаа. Монгол хүмүүст баярлалаа. Сайхан эрч хүчтэй байгаарай. Миний насан туршид үргэлж Монгол Ардын Намханыг дэмждэг. Монгол Ардын Намынханаараа бахархдаг. Монгол хүмүүсээрээ бахархдаг. Би монгол хүн болгоныг хүндэлдэг. Баярлалаа. Амжилт хүсье. Аз жаргал хүсье."
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777604612363210";"151";"4";"2";"1777529205704084_1777604612363210";"data";"fetched (200)";"2020-07-13 15:48:32.088346";"Facebook:/<post-id>/comments";"";"Монгол Улсын олон мянган иргэн саналаа өгч олонхи болгож хийж бүтээх,хөгжин дэвшихийн их итгэл хүлээлгэсэн.Бидний сонголт маш хүчтэй,мэргэн байсан."
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777694722354199";"152";"4";"2";"1777529205704084_1777694722354199";"data";"fetched (200)";"2020-07-13 15:48:32.088346";"Facebook:/<post-id>/comments";"";"Ард түмний сонголтын эсрэг, төрийн хуулийг зөрчсөн эдгээр хүмүүстэы хариуцлага тооцох хэрэгтэй. Эд нарт Монголын хууль яагаад үйлчилдэггүй юм. Хуулийн өмнө бүх хүмүүс тэгш эрхтэй."
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777639152359756";"153";"4";"2";"1777529205704084_1777639152359756";"data";"fetched (200)";"2020-07-13 15:48:32.088346";"Facebook:/<post-id>/comments";"";"ЖДҮ-чин олон хүний амин зуулга булаасан ноц.той хэрэгт орооцолдсон гишүүдэд ямар арга хэмжээ авсан(авах)бэ? Иймэрхүү гишүүдийг чинь бодхоор дургүй хүрч байна шүү.Нэг үхрийн эвэр доргивол мянган үхрийн эвэр доргино гэдэг шиг энэ хүмүүс дээрээ тодорхой арга хэмжээ авч өгнө үү.Бусдаараа үнэхээр хийж чадаж байвал ард түмэн нэг байтугай нэлээн хэдэн сонгууль.д дэмжих хүч бий шүү дээ.Намаа цэвэрлэж цэгцэлж өгнө үү."
