"path";"id";"parent_id";"level";"object_id";"object_type";"query_status";"query_time";"query_type";"name";"message"
"110296187292128_149960129992400";"2";"1";"1";"110296187292128_149960129992400";"data";"fetched (200)";"2020-07-13 15:56:21.626903";"Facebook:/<page-id>/posts";"";"Т.Доржханд: ХҮН намын ард талд маш олон мэргэжлийн олон залуучууд байдаг. Их хуралд бид анх удаа суудалтай боллоо. Маш олон хуульчид, эдийн засагчид, хуульчид залуучуудтай хамтарч ажиллана. Шүүмжлэх зүйл дээрээ хатуу байр суурьтай байх болно."
"110296187292128_149960129992400/149960129992400_149965179991895";"137";"2";"2";"149960129992400_149965179991895";"data";"fetched (200)";"2020-07-13 15:56:50.018809";"Facebook:/<post-id>/comments";"";"1/76 шүү дээ"
"110296187292128_149960129992400/149960129992400_149965179991895/149960129992400_150087406646339";"138";"2";"2";"149960129992400_150087406646339";"data";"fetched (200)";"2020-07-13 15:56:50.018809";"Facebook:/<post-id>/comments";"";"Амжилт хүсэе."
"110296187292128_149960129992400/149960129992400_149965179991895/149960129992400_150103103311436";"139";"2";"2";"149960129992400_150103103311436";"data";"fetched (200)";"2020-07-13 15:56:50.018809";"Facebook:/<post-id>/comments";"";"Аижилт"
"110296187292128_149960129992400/149960129992400_149965179991895/149960129992400_149960423325704";"140";"2";"2";"149960129992400_149960423325704";"data";"fetched (200)";"2020-07-13 15:56:50.018809";"Facebook:/<post-id>/comments";"";"Зөв"
"110296187292128_149960129992400/149960129992400_149965179991895/149960129992400_150246463297100";"141";"2";"2";"149960129992400_150246463297100";"data";"fetched (200)";"2020-07-13 15:56:50.018809";"Facebook:/<post-id>/comments";"";"Амжилт хүсье"
"110296187292128_149960129992400/149960129992400_149965179991895/149960129992400_150094226645657";"142";"2";"2";"149960129992400_150094226645657";"data";"fetched (200)";"2020-07-13 15:56:50.018809";"Facebook:/<post-id>/comments";"";"Итгэл найдварын оч болоорой"
"110296187292128_149960129992400/149960129992400_149965179991895/149960129992400_150436289944784";"143";"2";"2";"149960129992400_150436289944784";"data";"fetched (200)";"2020-07-13 15:56:50.018809";"Facebook:/<post-id>/comments";"";"zuw hvmvvs heregtei gazraa ocih n zuw"
"110296187292128_149960129992400/149960129992400_149965179991895/149960129992400_150450563276690";"144";"2";"2";"149960129992400_150450563276690";"data";"fetched (200)";"2020-07-13 15:56:50.018809";"Facebook:/<post-id>/comments";"";"Энэ намд их л зөв хүмүүс л байгаа харагдаад байна даа"
"110296187292128_149960129992400/149960129992400_149965179991895/149960129992400_150062376648842";"145";"2";"2";"149960129992400_150062376648842";"data";"fetched (200)";"2020-07-13 15:56:50.018809";"Facebook:/<post-id>/comments";"";"Амжилт хүсье"
"110296187292128_149960129992400/149960129992400_149965179991895/149960129992400_150336883288058";"146";"2";"2";"149960129992400_150336883288058";"data";"fetched (200)";"2020-07-13 15:56:50.018809";"Facebook:/<post-id>/comments";"";"Амжилт . Дараа нь тавилан юм даа зогсож байв даа"
"110296187292128_149960129992400/149960129992400_149965179991895/149960129992400_150349343286812";"147";"2";"2";"149960129992400_150349343286812";"data";"fetched (200)";"2020-07-13 15:56:50.018809";"Facebook:/<post-id>/comments";"";"amjilt"
"110296187292128_149960129992400/149960129992400_149965179991895/149960129992400_150004823321264";"148";"2";"2";"149960129992400_150004823321264";"data";"fetched (200)";"2020-07-13 15:56:50.018809";"Facebook:/<post-id>/comments";"";"mundag shvv 💪🤘"
"110296187292128_149960129992400/149960129992400_149965179991895/149960129992400_150018379986575";"149";"2";"2";"149960129992400_150018379986575";"data";"fetched (200)";"2020-07-13 15:56:50.018809";"Facebook:/<post-id>/comments";"";"Амжилт"
"110296187292128_149960129992400/149960129992400_149965179991895/149960129992400_150002436654836";"150";"2";"2";"149960129992400_150002436654836";"data";"fetched (200)";"2020-07-13 15:56:50.018809";"Facebook:/<post-id>/comments";"";"Amjilt husye 👍"
"110296187292128_149960129992400/149960129992400_149965179991895/149960129992400_150432616611818";"151";"2";"2";"149960129992400_150432616611818";"data";"fetched (200)";"2020-07-13 15:56:50.018809";"Facebook:/<post-id>/comments";"";""
"110296187292128_149960129992400/149960129992400_149965179991895/149960129992400_150060526649027";"152";"2";"2";"149960129992400_150060526649027";"data";"fetched (200)";"2020-07-13 15:56:50.018809";"Facebook:/<post-id>/comments";"";""
"110296187292128_149960129992400/149960129992400_149965179991895/149960129992400_150312339957179";"153";"2";"2";"149960129992400_150312339957179";"data";"fetched (200)";"2020-07-13 15:56:50.018809";"Facebook:/<post-id>/comments";"";"👏👏👏"
"110296187292128_149960129992400/149960129992400_149965179991895/149960129992400_150076583314088";"154";"2";"2";"149960129992400_150076583314088";"data";"fetched (200)";"2020-07-13 15:56:50.018809";"Facebook:/<post-id>/comments";"";"Эрхэм хүндэт залуу гишүүн минь ярьсан хэлсэнээ мартаж болохгүй шүү. Их хуралд гарахаарай мартчихдаг муу зуршилтай болдог юм билээ."
"110296187292128_149960129992400/149960129992400_149965179991895/149960129992400_150013436653736";"155";"2";"2";"149960129992400_150013436653736";"data";"fetched (200)";"2020-07-13 15:56:50.018809";"Facebook:/<post-id>/comments";"";"Bayr hvgie ugni ene Jil ovoo heden suudal awna gj bodson ghde boloh bha amjilt "
"110296187292128_149960129992400/149960129992400_149965179991895/149960129992400_150762043245542";"156";"2";"2";"149960129992400_150762043245542";"data";"fetched (200)";"2020-07-13 15:56:50.018809";"Facebook:/<post-id>/comments";"";""
"110296187292128_149960129992400/149960129992400_149965179991895/149960129992400_151132399875173";"157";"2";"2";"149960129992400_151132399875173";"data";"fetched (200)";"2020-07-13 15:56:50.018809";"Facebook:/<post-id>/comments";"";"Mash ih itgel hvleelgej bga shvv"
"110296187292128_149960129992400/149960129992400_149965179991895/149960129992400_151095043212242";"158";"2";"2";"149960129992400_151095043212242";"data";"fetched (200)";"2020-07-13 15:56:50.018809";"Facebook:/<post-id>/comments";"";"би нэгэнт Зөв ХҮН-ий 1 болжээ  😀"
"110296187292128_149960129992400/149960129992400_149965179991895/149960129992400_153096399678773";"159";"2";"2";"149960129992400_153096399678773";"data";"fetched (200)";"2020-07-13 15:56:50.018809";"Facebook:/<post-id>/comments";"";"."
"110296187292128_149960129992400/149960129992400_149965179991895/149960129992400_152825673039179";"160";"2";"2";"149960129992400_152825673039179";"data";"fetched (200)";"2020-07-13 15:56:50.018809";"Facebook:/<post-id>/comments";"";"Medleg chadwar, Hicheel zutgel, Zuw handlaga, Setgel baihad Hugjil Tsetseglelt bii bolnoo 😇💯💥👍"
"110296187292128_149960129992400/149960129992400_149965179991895/149960129992400_153156799672733";"161";"2";"2";"149960129992400_153156799672733";"data";"fetched (200)";"2020-07-13 15:56:50.018809";"Facebook:/<post-id>/comments";"";"Амжилт хүсье"
"110296187292128_149960129992400/149960129992400_149965179991895/110296187292128_149960129992400";"162";"2";"2";"110296187292128_149960129992400";"offcut";"fetched (200)";"2020-07-13 15:56:50.018809";"Facebook:/<post-id>/comments";"";""
"110296187292128_149960129992400/149960129992400_149965179991895/110296187292128_149960129992400";"163";"2";"2";"110296187292128_149960129992400";"headers";"fetched (200)";"2020-07-13 15:56:50.018809";"Facebook:/<post-id>/comments";"";""
"110296187292128_149960129992400/149960129992400_149965179991895/149960129992400_150004823321264";"164";"2";"2";"149960129992400_150004823321264";"data";"fetched (200)";"2020-07-13 15:56:50.018809";"Facebook:/<post-id>/comments";"";"mundag shvv 💪🤘"
