"level";"id";"parent_id";"object_id";"object_type";"query_status";"query_time";"query_type";"message";"created_time";"type";"comments.summary.total_count";"shares.count";"reactions.summary.total_count";"like.summary.total_count";"love.summary.total_count";"haha.summary.total_count";"wow.summary.total_count";"sad.summary.total_count";"angry.summary.total_count"
"0";"1";"None";"110296187292128";"seed";"";"None";"None";"";"";"";"";"";"";"";"";"";"";"";""
"1";"2";"1";"110296187292128_149960129992400";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"Т.Доржханд: ХҮН намын ард талд маш олон мэргэжлийн олон залуучууд байдаг. Их хуралд бид анх удаа суудалтай боллоо. Маш олон хуульчид, эдийн засагчид, хуульчид залуучуудтай хамтарч ажиллана. Шүүмжлэх зүйл дээрээ хатуу байр суурьтай байх болно.";"2020-06-29T07:24:50+0000";"link";"29";"60";"515";"476";"39";"0";"0";"0";"0"
"1";"3";"1";"110296187292128_149959193325827";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"Т.Доржханд: Сонгуулийн систем болохгүй байна гэдгийг монголчууд хаана хаанаа ойлгосон байх гэж найдаж байна. ХҮН намынхан Сонгуулийн тухай хуулийг хэлэлцэж батлагдах шатанд нь эрс эсэргүүцэж байсан.  Энэ сонгуулийн тогтолцоог Сири, Сьерра-Леоне гэсэн хоёрхон улс л ашиглаж байгаа. Кастын нийгэмтэй улсуудад хамгийн их тохирдог, дэлхий дээрх хамгийн муу систем юм. Дэлхийн түүхэнд ердөө найман улс л ашигласан байдаг юм билээ. Энэ системийг ашиглахыг Тайланд, Филиппин Үндсэн хуулиараа хориглосон нь ч бий.  Энэ нь ардчиллын эсрэг, ард түмнийг төлөөлж чаддаггүй, маш их мөнгөний сонгууль болгодог, нам институцийг дотор нь хагалдаг, бэхжүүлдэггүй, хамгийн муу үр дагавар нь залуу, шинэ улс төрийн хүчинд танигдах боломжийг олгодоггүй, үр дүн нь эсрэгээрээ гардаг систем юм.";"2020-06-29T07:19:13+0000";"link";"1";"102";"251";"241";"10";"0";"0";"0";"0"
"1";"4";"1";"110296187292128_149958999992513";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"Б.Найдалаа: Орон нутгийн сонгуульд ХҮН нам бүх хүчээрээ өрсөлдөнө мөн ирэх онд болох Ерөнхийлөгчийн сонгуульд тодорхой шийдэлтэйгээр оролцоно.";"2020-06-29T07:17:56+0000";"link";"8";"11";"345";"320";"24";"0";"1";"0";"0"
"1";"5";"1";"110296187292128_149596403362106";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"""ЗӨВ ХҮН ЭЛЕКТОРАТ""  эвслээс  УИХ-ын сонгуулийн үр дүнтэй холбоотойгоор хэвлэлийн бага хурал хийнэ.  2020.06.29, 12:00 Хаяг: Хөдөлмөрийн Үндэсний Намын байр";"2020-06-28T09:58:54+0000";"status";"4";"13";"162";"157";"4";"0";"1";"0";"0"
"1";"6";"1";"110296187292128_147571686897911";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"";"2020-06-22T11:11:10+0000";"video";"0";"1";"6";"6";"0";"0";"0";"0";"0"
"1";"7";"1";"110296187292128_147567793564967";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"Сонгуулийн аяны хаалтын үеэр хэн юу гэж хэлэв?";"2020-06-22T10:57:53+0000";"video";"9";"39";"118";"113";"5";"0";"0";"0";"0"
"1";"8";"1";"110296187292128_147561370232276";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"#Сонгууль2020 хүч тэнцвэргүй өрсөлдөөн байсныг та баримттай нь харж байна.  Ардчилсан намын зардлын явцын тайлангийн мэдээлэл олдсонгүй.  #ЗөвХөгжил #ЗөвХандлага #ЗөвСонголт";"2020-06-22T10:29:45+0000";"photo";"8";"215";"465";"380";"21";"3";"50";"7";"4"
"1";"9";"1";"110296187292128_147552366899843";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"УИХ-ын 2020 оны сонгуульд биднийг дэмжин хандив илгээсэн албан байгууллага болон иргэддээ Зөв Хүн Электорат эвслийн сонгуулийн штабаас талархлаа илэрхийлж байна. Та бүхний бидэнд итгэсэн итгэл, дэмжлэгээр бид сонгуулийн үйл ажиллагаагаа амжилттай дуусгаж чадлаа.  ЗӨВ сонголт хийн ЗӨВ ирээдүйг бүтээлцэж байгаа ЗӨВ хүн танд баярлалаа";"2020-06-22T09:48:42+0000";"photo";"8";"44";"272";"253";"19";"0";"0";"0";"0"
"1";"10";"1";"110296187292128_147542613567485";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"";"2020-06-22T09:01:42+0000";"video";"0";"2";"21";"21";"0";"0";"0";"0";"0"
"1";"11";"1";"110296187292128_147532946901785";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"Ард түмэндээ #Зөв сонголт хийх эрхийг нь шилжүүлээд Зөв Хүн Электорат эвсэл сонгуулийн сурталчилгааны ажлаа дуусгаж байна.  Таны сонголт #Зөв байна гэдэгт итгэлтэй байна.  #ЗөвхөнЗөвХүн #Сонгууль2020";"2020-06-22T08:17:37+0000";"link";"5";"28";"134";"129";"5";"0";"0";"0";"0"
"1";"12";"1";"110296187292128_147526200235793";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"30 жил Монголын төрийг барьсан АН, МАН-ын үүсгэсэн гаж тогтолцоог халж, ТҮҮХийн шинэ хуудас эргүүлэх, ирээдүйгээ өөрчлөх боломж бидэнд байна.  #Зөвхүн #Зөвсонголт #Зөвбодлого #Зөвирээдүй";"2020-06-22T07:51:54+0000";"photo";"0";"45";"156";"152";"4";"0";"0";"0";"0"
